video_id,title,category,channel_tier,upload_day,upload_hour,duration_seconds,views,likes,comments,shares,watch_time_minutes,avg_view_duration_seconds,click_through_rate,channel_age_years,subscribers,tags_count,hashtags
vid_0000,I tried EVERY transformers tool — the WINNER shocked me,Music,Mid,Sunday,0,721,228102,9979,2810,1193,1091087,287,0.01,1.3,441016,18.0,"[""ai"", ""tutorial"", ""trending""]"
vid_0001,What nobody tells you about AI image tools,Gaming,Small,Saturday,21,1894,25078,962,283,183,423818,1014,0.023,0.8,25339,17.0,"[""tutorial""]"
vid_0002,What nobody tells you about machine learning pipelines,Gaming,Large,Monday,18,1413,1323949,6619,25177,16119,12952634,587,0.1022,4.8,2398429,,"[""explained""]"
vid_0003,Is Claude worth it in 2025?,Gaming,Mid,Thursday,14,1335,187752,4936,2051,1797,2018334,645,0.0413,3.9,498144,13.0,"[""gaming"", ""trending"", ""explained"", ""tech""]"
vid_0004,URGENT: voice cloning AI is about to CHANGE FOREVER,Music,Small,Monday,4,3158,12583,777,98,30,262565,1252,0.01,1.3,30039,10.0,"[""explained"", ""shorts""]"
vid_0005,I tested GPT-4 for 30 days — here's what happened,News,Large,Tuesday,22,2455,1352960,47395,12123,14371,20970880,930,0.0859,1.9,6172888,13.0,"[""tech"", ""viral""]"
vid_0006,transformers is DEAD and here's WHY,Education,Mid,Saturday,14,2402,61094,3079,1199,223,613994,603,0.0553,0.9,148150,11.0,"[""datascience"", ""chatgpt"", ""explained"", ""tech"", ""llm""]"
vid_0007,Why Llama 3 DESTROYED my workflow (and how I fixed it),News,Mid,Saturday,19,2614,81434,1965,1239,1111,647400,477,0.0826,0.8,144351,10.0,"[""tutorial"", ""news"", ""ai"", ""llm""]"
vid_0008,STOP using Claude WRONG (most people do this),Gaming,Small,Saturday,6,3147,10716,713,103,129,218249,1222,0.0619,0.4,37464,,"[""trending"", ""tutorial""]"
vid_0009,A beginner's guide to machine learning pipelines,News,Mid,Sunday,22,271,272793,11686,2886,2498,522853,115,0.0665,2.6,286740,13.0,"[""review"", ""tutorial"", ""trending"", ""llm"", ""news""]"
vid_0010,The future of neural networks,Vlog,Small,Saturday,7,1302,5304,261,13,45,30498,345,0.0641,1.1,15533,15.0,"[""ai"", ""shorts"", ""review"", ""explained"", ""howto""]"
vid_0011,Getting started with voice cloning AI,News,Large,Saturday,8,254,1915305,153007,27447,13720,3351783,105,0.0724,2.1,4420088,,"[""ai""]"
vid_0012,A beginner's guide to Python for AI,Music,Mid,Monday,21,1867,265175,17964,382,2841,3517988,796,0.1119,3.0,424689,12.0,"[""ai"", ""shorts"", ""music""]"
vid_0013,The future of AI regulation,News,Large,Wednesday,22,1800,3443505,139122,56854,22440,16643607,290,0.0793,3.1,7689362,,"[""explained""]"
vid_0014,The complete guide to local LLMs,Gaming,Small,Friday,9,4633,27686,999,353,247,663079,1437,0.0155,0.8,15025,11.0,"[""ai"", ""viral""]"
vid_0015,A beginner's guide to data science careers,Education,Small,Sunday,16,5265,27775,1114,731,319,1142478,2468,0.0662,1.3,37368,6.0,"[""python"", ""ai""]"
vid_0016,What nobody tells you about AI in education,Gaming,Mid,Monday,20,2170,75409,3970,407,433,1271898,1012,0.0835,0.2,92926,0.0,"[""review""]"
vid_0017,The complete guide to RAG systems,Comedy,Small,Friday,21,1152,43068,1870,490,238,232567,324,0.0851,1.9,24431,1.0,"[""review"", ""viral"", ""explained""]"
vid_0018,A beginner's guide to Sora,News,Large,Saturday,14,2797,1226086,47904,27942,3951,25073458,1227,0.0443,4.9,5437825,,"[""tech"", ""llm"", ""news"", ""ai"", ""explained""]"
vid_0019,This is the BEST Llama 3 tutorial you will EVER watch,Music,Mid,Monday,18,1124,387556,25969,7421,1450,3933693,609,0.0841,0.2,135066,18.0,"[""shorts"", ""trending"", ""ai"", ""review""]"
vid_0020,neural networks is DEAD and here's WHY,Vlog,Mid,Thursday,20,1805,177390,7678,1387,177,2737719,926,0.0782,6.4,152976,,"[""howto"", ""tech""]"
vid_0021,Getting started with neural networks,Gaming,Small,Sunday,20,4391,10067,800,134,109,301003,1794,0.1193,8.0,19669,8.0,"[""viral"", ""tech"", ""gaming"", ""trending""]"
vid_0022,This AI search SECRET will CHANGE EVERYTHING,News,Large,Saturday,20,1094,618117,28656,7424,9417,4100176,398,0.0362,2.9,7763623,1.0,"[""trending"", ""ai"", ""news"", ""tech""]"
vid_0023,This is the BEST data science careers tutorial you will EVER watch,Gaming,Large,Wednesday,18,3733,1830676,131405,25065,25082,39206977,1285,0.0423,6.4,5172297,13.0,"[""tutorial"", ""explained"", ""gaming""]"
vid_0024,LEAKED: the real story behind Gemini,Education,Mid,Sunday,4,3326,43083,2169,336,64,1136673,1583,0.0473,2.2,565172,1.0,"[""review""]"
vid_0025,The TRUTH about Python for AI they DON'T want you to know,News,Small,Thursday,22,765,24282,1443,278,264,137193,339,0.0427,1.2,33152,,"[""review"", ""explained"", ""llm""]"
vid_0026,Getting started with data science careers,Vlog,Mid,Sunday,21,4343,706654,24118,1704,9672,25345323,2152,0.0327,0.2,323038,16.0,"[""ai"", ""review""]"
vid_0027,Getting started with GitHub Copilot,Music,Small,Wednesday,21,3390,5920,190,75,36,145730,1477,0.01,0.2,32466,,"[""ai""]"
vid_0028,The TRUTH about AI coding tools they DON'T want you to know,Gaming,Small,Friday,4,1981,10186,528,149,85,174180,1026,0.0441,6.4,5624,5.0,"[""ai""]"
vid_0029,WARNING: fine-tuning LLMs is NOT what you think,Music,Mid,Thursday,8,910,67166,4018,714,67,438817,392,0.0642,9.7,136754,3.0,"[""tutorial""]"
vid_0030,I tried EVERY local LLMs tool — the WINNER shocked me,Gaming,Mid,Wednesday,20,834,101613,4633,234,921,724839,428,0.0427,2.8,511302,5.0,"[""viral"", ""trending""]"
vid_0031,STOP using Claude WRONG (most people do this),Vlog,Large,Sunday,0,1114,3484081,89555,62473,13050,33911721,584,0.1034,7.8,6577719,15.0,"[""review""]"
vid_0032,My thoughts on Cursor AI after 6 months,News,Small,Tuesday,23,2946,7757,190,110,68,123077,952,0.0553,3.6,13142,4.0,"[""chatgpt"", ""news""]"
vid_0033,What nobody tells you about Midjourney,Gaming,Small,Monday,14,765,32174,759,245,56,83116,155,0.0873,5.9,23576,17.0,"[""review"", ""trending""]"
vid_0034,A beginner's guide to AI search,Gaming,Mid,Thursday,20,2680,114225,2111,1178,1161,3085978,1621,0.0615,3.3,395128,,"[""gaming""]"
vid_0035,I built a machine learning pipelines project — here's what I learned,Gaming,Small,Saturday,22,591,31141,1452,93,376,138058,266,0.0757,3.2,35370,0.0,"[""ai"", ""review"", ""gaming"", ""viral"", ""tutorial""]"
vid_0036,What nobody tells you about Midjourney,Vlog,Small,Saturday,14,1504,10810,668,63,52,58013,322,0.062,1.5,26108,4.0,"[""tech"", ""tutorial"", ""explained"", ""ai"", ""howto""]"
vid_0037,Getting started with Claude,Comedy,Mid,Sunday,12,1995,283512,12700,2487,978,3151708,667,0.0892,3.3,294537,15.0,"[""viral""]"
vid_0038,Why AI search is more important than you think,News,Small,Wednesday,19,14400,7831,86,151,7,963343,7381,0.0564,1.1,18096,12.0,"[""ai"", ""tutorial"", ""trending""]"
vid_0039,My thoughts on deep learning frameworks after 6 months,Music,Mid,Thursday,18,523,161469,6804,1318,1119,543612,202,0.0674,0.2,301458,7.0,"[""tech"", ""music"", ""shorts"", ""explained""]"
vid_0040,machine learning pipelines explained in 10 minutes,Music,Small,Tuesday,14,6800,7293,310,115,41,296338,2438,0.0642,2.7,27817,13.0,"[""trending"", ""shorts""]"
vid_0041,Understanding Gemini from scratch,Gaming,Large,Friday,18,2069,1075829,82236,9435,1932,21803467,1216,0.0478,0.3,7072434,12.0,"[""trending"", ""explained"", ""tech"", ""gaming""]"
vid_0042,This ChatGPT SECRET will CHANGE EVERYTHING,Vlog,Mid,Sunday,22,2617,356656,8254,4810,3499,4577085,770,0.0651,2.0,316026,11.0,"[""tech"", ""review"", ""tutorial"", ""shorts""]"
vid_0043,How ChatGPT actually works,Education,Small,Saturday,16,2011,16823,658,187,104,182809,652,0.1109,0.2,13674,10.0,"[""ai"", ""machinelearning"", ""python"", ""chatgpt"", ""deeplearning""]"
vid_0044,Gemini explained in 10 minutes,Music,Large,Friday,8,2697,2411644,170232,41572,8915,48273074,1201,0.0482,3.3,2656636,2.0,"[""music"", ""shorts""]"
vid_0045,I tried EVERY AI in education tool — the WINNER shocked me,Music,Large,Thursday,14,1574,5129651,265457,45095,29658,62752730,734,0.0655,1.3,6222099,5.0,"[""tech"", ""explained""]"
vid_0046,This Gemini SECRET will CHANGE EVERYTHING,Music,Small,Sunday,14,6691,31882,1704,81,391,1704624,3208,0.0864,0.5,33579,,"[""tutorial"", ""music""]"
vid_0047,STOP using Stable Diffusion WRONG (most people do this),Vlog,Small,Friday,5,1198,5926,276,21,61,62618,634,0.0835,1.9,8684,2.0,"[""tech"", ""review""]"
vid_0048,Getting started with GPT-4,Gaming,Mid,Tuesday,7,5009,161730,8078,1424,1209,5992096,2223,0.0553,1.8,114610,9.0,"[""gaming"", ""explained"", ""review""]"
vid_0049,The future of vector databases,Comedy,Small,Thursday,19,1012,6800,385,30,71,54853,484,0.01,5.2,25805,2.0,"[""tutorial"", ""explained""]"
vid_0050,LEAKED: the real story behind AI image tools,Education,Small,Monday,13,1712,8150,267,117,27,90329,665,0.0679,8.8,10116,15.0,"[""explained"", ""chatgpt"", ""datascience"", ""tech""]"
vid_0051,I tested Sora for 30 days — here's what happened,Comedy,Small,Tuesday,22,688,6931,403,63,56,33961,294,0.01,4.9,33863,2.0,"[""viral"", ""shorts""]"
vid_0052,The honest truth about Stable Diffusion,Gaming,Mid,Monday,10,2723,438582,10703,11511,3767,8610826,1178,0.0917,0.4,241374,1.0,"[""gaming"", ""review"", ""viral"", ""trending"", ""ai""]"
vid_0053,The complete guide to fine-tuning LLMs,Gaming,Mid,Thursday,4,6638,160525,8014,252,982,7916557,2959,0.0592,0.9,154813,12.0,"[""tutorial"", ""gaming"", ""viral"", ""ai""]"
vid_0054,The honest truth about vector databases,Education,Mid,Friday,20,1686,141110,6728,1865,1374,2031984,864,0.08,15.0,558904,4.0,"[""review"", ""deeplearning"", ""machinelearning"", ""tutorial"", ""llm""]"
vid_0055,I tested Sora for 30 days — here's what happened,Education,Mid,Thursday,21,1514,436530,15608,2284,2129,5354768,736,0.0324,1.8,166076,7.0,"[""llm"", ""ai""]"
vid_0056,YOU WON'T BELIEVE what AI coding tools just did,Comedy,Mid,Thursday,11,663,21136,943,191,212,98986,281,0.0162,1.8,228054,6.0,"[""tutorial"", ""ai"", ""review"", ""tech""]"
vid_0057,The future of Stable Diffusion,Music,Mid,Sunday,8,1470,29944,1067,384,305,236557,474,0.0615,5.9,159878,,"[""shorts"", ""tech""]"
vid_0058,Getting started with vector databases,Music,Small,Saturday,7,431,18901,546,18,18,57963,184,0.0542,5.7,9042,15.0,"[""trending"", ""shorts""]"
vid_0059,Cursor AI is DEAD and here's WHY,Education,Small,Friday,18,795,11755,466,157,150,64848,331,0.0427,0.5,5740,13.0,"[""datascience"", ""deeplearning""]"
vid_0060,The future of Claude,Education,Mid,Wednesday,16,2217,146620,4169,3433,146,2399680,982,0.0571,3.2,108805,,"[""machinelearning""]"
vid_0061,The ONLY GPT-4 guide you'll EVER need,Education,Mid,Sunday,11,5926,51910,2587,481,287,3510846,4058,0.1242,0.4,170813,13.0,"[""llm"", ""review"", ""tutorial""]"
vid_0062,Midjourney explained in 10 minutes,Music,Mid,Wednesday,1,14400,117790,3268,1597,1425,10094603,5142,0.0759,6.4,107758,14.0,"[""shorts"", ""tech"", ""explained"", ""tutorial""]"
vid_0063,What nobody tells you about AI search,Education,Mid,Wednesday,16,1066,596034,33186,10817,4011,4976883,501,0.0812,0.3,387394,,"[""machinelearning"", ""explained"", ""llm"", ""chatgpt""]"
vid_0064,What nobody tells you about Python for AI,Gaming,Mid,Sunday,22,6579,406046,11076,4473,867,24403364,3606,0.0761,2.7,433971,11.0,"[""ai"", ""tech""]"
vid_0065,STOP using neural networks WRONG (most people do this),Education,Mid,Friday,19,2251,192429,7024,1638,697,3114142,971,0.092,7.3,284687,18.0,"[""tech"", ""machinelearning""]"
vid_0066,WARNING: AI video generation is NOT what you think,Comedy,Mid,Saturday,17,1577,105571,3761,105,1278,1942506,1104,0.0502,2.0,245355,9.0,"[""comedy"", ""review"", ""explained""]"
vid_0067,Understanding AI coding tools from scratch,Education,Small,Friday,4,2668,5834,378,92,5,97136,999,0.01,4.4,22658,7.0,"[""llm"", ""explained"", ""tutorial"", ""deeplearning""]"
vid_0068,How RAG systems actually works,Music,Small,Saturday,10,1911,1820,90,20,22,26572,876,0.0503,3.1,35625,10.0,"[""shorts"", ""tech""]"
vid_0069,Why GitHub Copilot DESTROYED my workflow (and how I fixed it),Comedy,Small,Wednesday,12,1996,9831,411,58,76,105847,646,0.0753,7.0,34789,16.0,"[""shorts""]"
vid_0070,LEAKED: the real story behind ChatGPT,News,Small,Wednesday,20,1252,22027,1155,281,71,173646,473,0.0308,10.7,6521,14.0,"[""tutorial""]"
vid_0071,Understanding machine learning pipelines from scratch,Music,Small,Wednesday,21,513,3175,42,26,17,12170,230,0.0506,4.4,11352,1.0,"[""explained"", ""trending""]"
vid_0072,I tested Sora for 30 days — here's what happened,Music,Large,Tuesday,22,450,1237141,54870,10923,4863,4824849,234,0.0377,9.1,2657214,9.0,"[""shorts"", ""ai"", ""trending"", ""review"", ""explained""]"
vid_0073,What nobody tells you about RAG systems,Education,Small,Sunday,23,3254,3961,296,61,45,98430,1491,0.0926,1.5,13728,14.0,"[""machinelearning"", ""explained""]"
vid_0074,YOU WON'T BELIEVE what local LLMs just did,News,Small,Wednesday,23,1409,3695,173,14,40,49513,804,0.0737,2.8,24993,4.0,"[""tech"", ""llm""]"
vid_0075,The honest truth about Gemini,Comedy,Small,Friday,22,1057,11689,537,213,13,83965,431,0.0713,2.1,19569,19.0,"[""ai"", ""tech"", ""review"", ""explained""]"
vid_0076,YOU WON'T BELIEVE what AI search just did,Comedy,Small,Saturday,3,1821,1887,100,6,12,21763,692,0.0705,9.4,6723,,"[""shorts"", ""review"", ""comedy""]"
vid_0077,I tested AI image tools for 30 days — here's what happened,Music,Mid,Saturday,5,3697,245194,14327,1967,1114,11246231,2752,0.0541,6.0,274279,16.0,"[""explained"", ""trending"", ""tech"", ""review""]"
vid_0078,Midjourney explained in 10 minutes,Education,Mid,Thursday,12,2126,219329,3298,5162,2889,3629894,993,0.0599,1.3,352351,,"[""llm""]"
vid_0079,A beginner's guide to neural networks,Comedy,Mid,Friday,18,1001,137425,2716,2578,357,762708,333,0.0254,1.6,132869,11.0,"[""shorts"", ""review"", ""tutorial"", ""explained"", ""comedy""]"
vid_0080,The honest truth about prompt engineering,News,Mid,Sunday,4,5451,20616,992,259,297,630506,1835,0.01,11.0,513398,10.0,"[""news"", ""tech"", ""tutorial""]"
vid_0081,WARNING: data science careers is NOT what you think,Vlog,Small,Saturday,21,7489,6308,216,40,49,241596,2298,0.0588,1.0,6818,12.0,"[""review"", ""shorts"", ""vlog""]"
vid_0082,AI video generation explained in 10 minutes,Vlog,Large,Saturday,19,2821,7038551,455256,62110,23595,176081084,1501,0.0631,1.8,7473893,17.0,"[""explained"", ""tech""]"
vid_0083,AI video generation explained in 10 minutes,Comedy,Small,Sunday,18,4342,1516,61,18,8,41260,1633,0.0852,1.6,8468,7.0,"[""explained"", ""viral"", ""tutorial"", ""shorts"", ""ai""]"
vid_0084,This AI image tools SECRET will CHANGE EVERYTHING,Comedy,Small,Saturday,7,5529,7572,121,92,36,303637,2406,0.0943,0.2,34525,10.0,"[""shorts"", ""tech"", ""comedy"", ""review"", ""explained""]"
vid_0085,YOU WON'T BELIEVE what Cursor AI just did,News,Small,Tuesday,10,4999,3112,80,35,9,106897,2061,0.0942,3.1,36592,13.0,"[""trending"", ""news"", ""tech""]"
vid_0086,Getting started with Cursor AI,Education,Mid,Friday,6,3142,228411,1142,2698,1913,6071925,1595,0.03,1.9,589376,15.0,"[""explained"", ""ai"", ""python"", ""tech"", ""tutorial""]"
vid_0087,This is the BEST neural networks tutorial you will EVER watch,News,Mid,Tuesday,21,3098,97892,4061,1048,302,1608691,986,0.0462,0.5,497053,15.0,"[""tutorial""]"
vid_0088,A beginner's guide to AI video generation,Comedy,Small,Saturday,18,2886,19340,815,64,19,270437,839,0.067,0.2,32281,6.0,"[""comedy"", ""tutorial"", ""ai"", ""shorts"", ""tech""]"
vid_0089,Is Python for AI worth it in 2025?,Gaming,Mid,Sunday,20,673,330126,12753,2938,2139,1650630,300,0.1183,1.9,414091,19.0,"[""tech"", ""gaming"", ""review"", ""ai""]"
vid_0090,I built a local LLMs project — here's what I learned,Gaming,Small,Friday,12,3397,34758,2126,607,34,968010,1671,0.092,6.0,32264,0.0,"[""tech"", ""gaming"", ""tutorial"", ""trending"", ""ai""]"
vid_0091,Understanding data science careers from scratch,News,Mid,Thursday,13,533,102016,6424,386,509,416565,245,0.083,5.4,149967,9.0,"[""ai"", ""trending"", ""llm""]"
vid_0092,Exploring AI agents: a deep dive,Gaming,Small,Monday,14,884,10807,458,117,47,51333,285,0.0453,1.0,23762,12.0,"[""viral"", ""explained"", ""trending""]"
vid_0093,What nobody tells you about Sora,Education,Small,Sunday,20,5844,4267,55,30,19,208300,2929,0.0329,1.3,22997,1.0,"[""python"", ""tutorial"", ""review""]"
vid_0094,How open-source AI actually works,Education,Small,Tuesday,20,3851,29027,1574,367,464,615856,1273,0.0747,2.3,35015,9.0,"[""review""]"
vid_0095,WARNING: Midjourney is NOT what you think,Gaming,Mid,Monday,8,6895,65306,3482,631,537,2681899,2464,0.0275,0.3,320655,11.0,"[""explained"", ""viral"", ""trending"", ""tech""]"
vid_0096,Getting started with Stable Diffusion,Education,Small,Wednesday,22,1415,7151,354,149,64,51725,434,0.049,3.6,18478,,"[""explained"", ""tutorial"", ""ai""]"
vid_0097,How AI regulation actually works,News,Small,Monday,5,640,7858,469,118,7,48195,368,0.0521,1.0,27384,2.0,"[""llm"", ""chatgpt"", ""trending"", ""review"", ""news""]"
vid_0098,My thoughts on AI search after 6 months,Gaming,Small,Thursday,22,1456,3207,88,13,17,38590,722,0.0948,7.5,14326,5.0,"[""viral""]"
vid_0099,I tested AI video generation for 30 days — here's what happened,News,Large,Friday,4,1981,1801250,135330,28869,15961,29270312,975,0.0461,3.7,1978378,4.0,"[""news"", ""review""]"
vid_0100,The TRUTH about Claude they DON'T want you to know,Vlog,Large,Wednesday,11,1941,3252546,99555,23913,12691,59901055,1105,0.01,1.3,4345140,12.0,"[""viral"", ""explained"", ""tutorial""]"
vid_0101,AI search is DEAD and here's WHY,Education,Mid,Monday,21,5015,212365,11943,1813,2470,13442704,3798,0.0676,5.8,296782,,"[""python""]"
vid_0102,The ONLY Midjourney guide you'll EVER need,Gaming,Small,Tuesday,7,1306,2244,44,31,7,10472,280,0.0375,8.0,13139,11.0,"[""gaming"", ""tutorial"", ""trending"", ""viral"", ""tech""]"
vid_0103,URGENT: AI agents is about to CHANGE FOREVER,Music,Large,Thursday,14,2482,1358549,42177,12294,9312,18612121,822,0.0561,2.7,3572582,14.0,"[""viral"", ""shorts"", ""tech"", ""music""]"
vid_0104,Why prompt engineering DESTROYED my workflow (and how I fixed it),Gaming,Mid,Monday,15,742,217264,14718,3771,1228,926993,256,0.0528,1.1,270524,15.0,"[""review"", ""gaming""]"
